Short_name	Sample_name	Cobalt_concentration_ug_L	Cobalt_concentration_uM	Recovery	Cobalt_concentration_uM_corrected	Time	Wire_treatment	Abiotic_vs_biotic	DMSO_treatment	Metabolite_treatment	Replicate	Sample_preservation	Bottle_number	Cell_presence	Mean_cobalt_concentration_uM_corrected	Median_cobalt_concentration_uM_corrected	Stdev_cobalt_concentration_uM_corrected	Min_cobalt_concentration_uM_corrected	Max_cobalt_concentration_uM_corrected
72-10.1	2024-02-16_72hr_Wire+10%inoc_10_A-F	51910.952	880.8440133	0.975558	902.9130132	72	Wire included	Wild type	No DMSO	Nothing added	2	"Acidified, filtered"	10	Live cells	1849.049635	1439.339461	1068.358594	902.9130132	3473.979149
72-10.2	2024-02-16_72hr_Wire+10%inoc_10_F-A	49983.342	848.135622	0.894542	948.1227511	72	Wire included	Wild type	No DMSO	Nothing added	2	"Filtered, acidified"	10	Live cells	1113.090741	1005.360079	255.3664337	948.1227511	1493.520056
72-11.1	2024-02-16_72hr_NoWire+10%inoc_11_A-F	123.966	2.103500413	1	2.103500413	72	No wire	Wild type	No DMSO	Nothing added	1	"Acidified, filtered"	11	Live cells	1.931947408	1.956978576	0.146475706	1.762962283	2.103500413
72-11.2	2024-02-16_72hr_NoWire+10%inoc_11_F-A	112.395	1.907159454	1	1.907159454	72	No wire	Wild type	No DMSO	Nothing added	1	"Filtered, acidified"	11	Live cells	1.818062809	1.814215232	0.114384404	1.717232538	1.926588233
72-12.1	2024-02-16_72hr_NoWire+10%inoc_12_A-F	110.662	1.877753276	1	1.877753276	72	No wire	Wild type	No DMSO	Nothing added	2	"Acidified, filtered"	12	Live cells	1.931947408	1.956978576	0.146475706	1.762962283	2.103500413
72-12.2	2024-02-16_72hr_NoWire+10%inoc_12_F-A	101.44	1.721271009	1	1.721271009	72	No wire	Wild type	No DMSO	Nothing added	2	"Filtered, acidified"	12	Live cells	1.818062809	1.814215232	0.114384404	1.717232538	1.926588233
72-13.1	2024-02-16_72hr_Wire+10%inoc+DMSO_13_A-F	21402.238	363.1609995	0.994774	365.0688493	72	Wire included	Wild type	DMSO	Nothing added	1	"Acidified, filtered"	13	Live cells	353.691096	379.399559	129.6834936	174.0362351	481.9290307
72-13.2	2024-02-16_72hr_Wire+10%inoc+DMSO_13_F-A	10286.791	174.5500308	0.965511	180.7851291	72	Wire included	Wild type	DMSO	Nothing added	1	"Filtered, acidified"	13	Live cells	273.4087069	278.3165745	161.6259013	96.38506203	440.6166166
72-14.1	2024-02-16_72hr_Wire+10%inoc+DMSO_14_A-F	10236.224	173.6919914	0.998022	174.0362351	72	Wire included	Wild type	DMSO	Nothing added	2	"Acidified, filtered"	14	Live cells	353.691096	379.399559	129.6834936	174.0362351	481.9290307
72-14.2	2024-02-16_72hr_Wire+10%inoc+DMSO_14_F-A	5601.142	95.04222535	0.986068	96.38506203	72	Wire included	Wild type	DMSO	Nothing added	2	"Filtered, acidified"	14	Live cells	273.4087069	278.3165745	161.6259013	96.38506203	440.6166166
