Short_name	Sample_name	Cobalt_concentration_ug_L	Cobalt_concentration_uM	Time	Wire_treatment	Abiotic_vs_biotic	DMSO_treatment	Metabolite_treatment	Replicate	Sample_preservation	Bottle_number	Recovery
168-6.1	2024-02-20_168hr_Wire+Media+DMSO_6_A-F	9436.171	160.1163996	168	Wire included	Sterile medium	DMSO	Nothing added	2	"Acidified, filtered"	6	
168-6.2	2024-02-20_168hr_Wire+Media+DMSO_6_F-A	3576.27	60.68345692	168	Wire included	Sterile medium	DMSO	Nothing added	2	"Filtered, acidified"	6	
168-7.1	2024-02-20_168hr_NoWire+Media+DMSO_7_A-F	145.607	2.470712813	168	No wire	Sterile medium	DMSO	Nothing added	1	"Acidified, filtered"	7	
168-7.2	2024-02-20_168hr_NoWire+Media+DMSO_7_F-A	159.487	2.706233728	168	No wire	Sterile medium	DMSO	Nothing added	1	"Filtered, acidified"	7	
168-8.1	2024-02-20_168hr_NoWire+Media+DMSO_8_A-F	133.155	2.259422724	168	No wire	Sterile medium	DMSO	Nothing added	2	"Acidified, filtered"	8	
168-8.2	2024-02-20_168hr_NoWire+Media+DMSO_8_F-A	131.976	2.239417021	168	No wire	Sterile medium	DMSO	Nothing added	2	"Filtered, acidified"	8	
168-9.1	2024-02-20_168hr_Wire+10%inoc_9_A-F	105111.437	1783.569294	168	Wire included	Wild type	No DMSO	Nothing added	1	"Acidified, filtered"	9	0.9405
168-9.2	2024-02-20_168hr_Wire+10%inoc_9_F-A	33736.651	572.455829	168	Wire included	Wild type	No DMSO	Nothing added	1	"Filtered, acidified"	9	0.9405
168-10.1	2024-02-20_168hr_Wire+10%inoc_10_A-F	103234.569	1751.721912	168	Wire included	Wild type	No DMSO	Nothing added	2	"Acidified, filtered"	10	0.9405
168-10.2	2024-02-20_168hr_Wire+10%inoc_10_F-A	32308.033	548.2145165	168	Wire included	Wild type	No DMSO	Nothing added	2	"Filtered, acidified"	10	0.9405
168-11.1	2024-02-20_168hr_NoWire+10%inoc_11_A-F	149.337	2.534004817	168	No wire	Wild type	No DMSO	Nothing added	1	"Acidified, filtered"	11	
168-11.2	2024-02-20_168hr_NoWire+10%inoc_11_F-A	156.633	2.657806012	168	No wire	Wild type	No DMSO	Nothing added	1	"Filtered, acidified"	11	
168-12.1	2024-02-20_168hr_NoWire+10%inoc_12_A-F	136.149	2.310226011	168	No wire	Wild type	No DMSO	Nothing added	2	"Acidified, filtered"	12	
168-12.2	2024-02-20_168hr_NoWire+10%inoc_12_F-A	148.5	2.519802295	168	No wire	Wild type	No DMSO	Nothing added	2	"Filtered, acidified"	12	
168-13.1	2024-02-20_168hr_Wire+10%inoc+DMSO_13_A-F	20629.136	350.0427221	168	Wire included	Wild type	DMSO	Nothing added	1	"Acidified, filtered"	13	
